LowPressurePSI,HighPressurePSI,CoefficientOfPerformance,CurrentAmps,PowerInputkW,TemperatureRiseF,HeatOutputMBH,OutdoorAirTempF
131,372,3.67,11.1,2.93,32,36.7,65
123,360,3.55,10.8,2.85,31,34.5,60
115,348,3.42,10.4,2.77,29,32.3,55
106,336,3.29,10.1,2.69,27,30.2,50
102,328,3.20,9.9,2.64,26,28.8,47
98,324,3.13,9.7,2.60,26,27.8,45
90,312,2.94,9.4,2.52,23,25.3,40
74,320,2.67,11.3,2.97,25,27.1,35
67,307,2.53,11.0,2.89,23,25.0,30
60,294,2.44,10.6,2.81,21,23.4,25
52,281,2.39,10.3,2.73,20,22.3,20
48,274,2.37,10.1,2.68,20,21.7,17
45,268,2.31,9.9,2.65,19,20.9,15
38,256,2.16,9.6,2.57,17,18.9,10
30,243,2.00,9.2,2.49,16,17.0,5
23,230,1.83,8.9,2.41,14,15.0,0
15,217,1.64,8.5,2.33,12,13.0,-5
8,204,1.44,8.2,2.25,10,11.1,-10
